COV_REG,a,b,c,ab,ac,bc,abc
4,0.8603576451677718,0.1195499296765119,0.07514567008237895,0.1028556959764565,0.06465215175662983,0.008983659573842768,0.0077291601959402715
4,0.8295454545454546,0.2830578512396694,0.02634297520661157,0.23480935386927124,0.021852695341848236,0.0074565859572433574,0.006185576987258695
4,0.7921648561982649,0.0,0.0008203037609684555,0.0,0.0006498158108464725,0.0,0.0
4,0.9163200739397818,0.0,0.002417262095197469,0.0,0.002214985781803177,0.0,0.0
4,0.9240578351964657,0.0,0.004049802530289846,0.0,0.003742251759112804,0.0,0.0
4,0.9234927234927235,0.0,0.006611226611226611,0.0,0.006105419668829232,0.0,0.0
4,0.9141986313186498,0.00621082293403874,0.017827362125481628,0.005677925825660696,0.016297750055137238,0.00011072258954235492,0.0001012224398156775
4,0.9025810207646031,0.02299631282747916,0.03202018241800893,0.020756035505648276,0.028900808931915295,0.0007363461316774813,0.000664612043165528
4,0.8553249804228661,0.06910728269381361,0.041699295223179327,0.0591091852171636,0.03566644887041317,0.002881724983121045,0.0024648113647720922
4,0.7743933054393305,0.18861924686192466,0.008702928870292887,0.1460654820468829,0.006739489854869487,0.0016415398890075451,0.0012711975006590647
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,0.006097560975609756,0.0,0.006097560975609756,0.0,0.0
5,1.0,0.0,0.022099447513812154,0.0,0.022099447513812154,0.0,0.0
5,1.0,0.0,0.046511627906976744,0.0,0.046511627906976744,0.0,0.0
5,1.0,0.0,0.10884353741496598,0.0,0.10884353741496598,0.0,0.0
5,1.0,0.056451612903225756,0.11290322580645161,0.056451612903225756,0.11290322580645161,0.006373569198751295,0.006373569198751295
5,1.0,0.1333333333333333,0.25333333333333335,0.1333333333333333,0.25333333333333335,0.033777777777777775,0.033777777777777775
5,1.0,0.4736842105263158,0.10526315789473684,0.4736842105263158,0.10526315789473684,0.04986149584487535,0.04986149584487535
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
